estimating workload which takes just one milisecond
end estimation
#proc   time    progress
0	1	1
0	2	2
0	3	3
0	4	4
0	5	5
0	7	6
0	8	7
0	9	8
0	10	9
0	11	10
0	12	11
0	13	12
0	14	13
0	16	14
0	17	15
0	18	16
0	20	17
0	21	18
0	22	19
0	23	20
0	24	21
0	26	22
0	27	23
0	28	24
0	30	25
0	31	26
0	32	27
0	33	28
0	34	29
0	35	30
0	36	31
0	38	32
0	39	33
0	40	34
0	41	35
0	42	36
0	43	37
0	45	38
0	46	39
0	48	40
0	49	41
0	50	42
0	51	43
0	52	44
0	53	45
0	54	46
0	55	47
0	57	48
0	58	49
0	59	50
0	60	51
0	61	52
0	62	53
0	63	54
0	64	55
0	66	56
0	67	57
0	68	58
0	69	59
0	70	60
0	71	61
0	72	62
0	73	63
0	75	64
0	76	65
0	77	66
0	78	67
0	79	68
0	81	69
0	82	70
0	83	71
0	84	72
0	85	73
0	87	74
0	88	75
0	89	76
0	90	77
0	91	78
0	92	79
0	93	80
0	95	81
0	96	82
0	97	83
0	98	84
0	99	85
0	100	86
0	101	87
0	103	88
0	104	89
0	105	90
0	106	91
0	107	92
0	108	93
0	109	94
0	111	95
0	112	96
0	113	97
0	114	98
0	115	99
0	116	100
